"ID";"block";"experience";"STEMContrasts1";"STEMContrasts2";"experienceContrasts";"STEM";"sexContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"typeContrasts";"sex";"nStimuli";"typeOfAlternatives";"hitSum";"incorrectSum";"acc";"accAttempts";"attempts";"fullCorrectTrials";"accScoringSystem"
"id69";"main5";"no";0;1;-1;"nonSTEM";-1;0;1;1;"female";4;"mixed";21;3;0.875;0.875;24;9;0.75
"id69";"main6";"no";0;1;-1;"nonSTEM";-1;1;0;1;"female";2;"mixed";22;2;0.916666666666667;0.916666666666667;24;22;0.916666666666667
"id89";"main1";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";20;4;0.833333333333333;0.833333333333333;24;4;0.666666666666667
"id89";"main2";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";22;2;0.916666666666667;0.916666666666667;24;22;0.916666666666667
"id89";"main3";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";24;0;1;1;24;12;1
"id89";"main4";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";23;1;0.958333333333333;0.958333333333333;24;5;0.833333333333333
"id89";"main5";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id89";"main6";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";24;0;1;1;24;12;1
"id30";"main1";"no";0;1;-1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";20;4;0.833333333333333;0.833333333333333;24;2;0.333333333333333
"id30";"main2";"no";0;1;-1;"nonSTEM";-1;1;0;-1;"female";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id30";"main3";"no";0;1;-1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";20;4;0.833333333333333;0.833333333333333;24;3;0.5
"id30";"main4";"no";0;1;-1;"nonSTEM";-1;0;1;-1;"female";4;"paired";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id30";"main5";"no";0;1;-1;"nonSTEM";-1;0;1;1;"female";4;"mixed";21;3;0.875;0.875;24;9;0.75
"id30";"main6";"no";0;1;-1;"nonSTEM";-1;1;0;1;"female";2;"mixed";24;0;1;1;24;24;1
"id57";"main1";"no";0;1;-1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";9;11;0.375;0.45;18;0;0
"id57";"main2";"no";0;1;-1;"nonSTEM";-1;1;0;1;"female";2;"mixed";19;5;0.791666666666667;0.791666666666667;24;19;0.791666666666667
"id57";"main3";"no";0;1;-1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";16;8;0.666666666666667;0.666666666666667;24;2;0.333333333333333
"id57";"main4";"no";0;1;-1;"nonSTEM";-1;0;1;-1;"female";4;"paired";16;8;0.666666666666667;0.666666666666667;24;6;0.5
"id57";"main5";"no";0;1;-1;"nonSTEM";-1;0;1;1;"female";4;"mixed";17;7;0.708333333333333;0.708333333333333;24;5;0.416666666666667
"id57";"main6";"no";0;1;-1;"nonSTEM";-1;1;0;-1;"female";2;"paired";22;2;0.916666666666667;0.916666666666667;24;22;0.916666666666667
"id122";"main1";"yes";0;1;1;"nonSTEM";1;1;0;-1;"male";2;"paired";16;1;0.666666666666667;0.941176470588235;16;16;0.666666666666667
"id122";"main2";"yes";0;1;1;"nonSTEM";1;1;0;1;"male";2;"mixed";10;2;0.416666666666667;0.833333333333333;11;10;0.416666666666667
"id122";"main3";"yes";0;1;1;"nonSTEM";1;-1;-1;1;"male";8;"mixed";18;2;0.75;0.9;18;4;0.666666666666667
"id122";"main4";"yes";0;1;1;"nonSTEM";1;-1;-1;-1;"male";8;"paired";20;4;0.833333333333333;0.833333333333333;21;4;0.666666666666667
"id122";"main5";"yes";0;1;1;"nonSTEM";1;0;1;-1;"male";4;"paired";18;2;0.75;0.9;18;9;0.75
"id122";"main6";"yes";0;1;1;"nonSTEM";1;0;1;1;"male";4;"mixed";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id80";"main1";"yes";0;1;1;"nonSTEM";1;-1;-1;-1;"male";8;"paired";16;4;0.666666666666667;0.8;18;3;0.5
"id80";"main2";"yes";0;1;1;"nonSTEM";1;1;0;-1;"male";2;"paired";13;7;0.541666666666667;0.65;19;13;0.541666666666667
"id80";"main3";"yes";0;1;1;"nonSTEM";1;0;1;1;"male";4;"mixed";17;7;0.708333333333333;0.708333333333333;24;6;0.5
"id80";"main4";"yes";0;1;1;"nonSTEM";1;-1;-1;1;"male";8;"mixed";17;7;0.708333333333333;0.708333333333333;23;2;0.333333333333333
"id80";"main5";"yes";0;1;1;"nonSTEM";1;0;1;-1;"male";4;"paired";20;4;0.833333333333333;0.833333333333333;24;9;0.75
"id80";"main6";"yes";0;1;1;"nonSTEM";1;1;0;1;"male";2;"mixed";15;9;0.625;0.625;24;15;0.625
"id172";"main1";"no";0;1;-1;"nonSTEM";1;-1;-1;-1;"male";8;"paired";16;8;0.666666666666667;0.666666666666667;24;1;0.166666666666667
"id172";"main2";"no";0;1;-1;"nonSTEM";1;1;0;-1;"male";2;"paired";14;5;0.583333333333333;0.736842105263158;18;14;0.583333333333333
"id172";"main3";"no";0;1;-1;"nonSTEM";1;0;1;1;"male";4;"mixed";14;4;0.583333333333333;0.777777777777778;17;5;0.416666666666667
